   RXTXRobot API version 4.5.5
---------------------------------

Connecting to robot, please wait...

--> Most recent version from website: 4.5.5
--> You are on the most up-to-date version of the API! (version 4.5.5)
Connected!


Firmware version: 4.5.2
API version: 4.5.5
0.0 0.0 0.0 -0.0
0.0 2.0E-6 8.0E-6 1.11E-4
2.215673 0.00662 -0.058517 -0.116901
0.0 -0.00663 0.05854 0.116718
2.215673 0.00662 -0.058517 -0.116901
0.0 -0.00663 0.05854 0.116718
0.0 2.0E-6 8.0E-6 1.11E-4
2.638935 -0.029225 -0.156677 -0.253735
0.0 0.02929 0.156975 0.252987
0.0 2.0E-6 8.0E-6 1.11E-4
0.0 2.0E-6 8.0E-6 1.11E-4
2.215673 0.00662 -0.058517 -0.116901
0.0 -0.00663 0.05854 0.116718
1.431902 -0.035843 -0.098152 -0.136723
2.216909 0.00656 -0.058662 -0.117161
0.0 0.035867 0.098282 0.136189
0.0 -0.00663 0.05854 0.116718
0.0 2.0E-6 8.0E-6 1.11E-4
0.0 2.0E-6 8.0E-6 1.11E-4
2.638935 -0.029225 -0.156677 -0.253735
0.0 0.02929 0.156975 0.252987
2.215673 0.00662 -0.058517 -0.116901
0.0 -0.042472 -0.039635 -0.020138
0.0 0.12586 0.367775 0.4328
2.900094 -0.022564 -0.141808 -0.238129
1.433405 -0.035843 -0.09819 -0.136799
0.0 0.02929 0.156975 0.252987
2.215673 0.00662 -0.058517 -0.116901
0.0 -0.042472 -0.039635 -0.020138
0.0 -3.0E-6 8.0E-6 -8.0E-6
0.0 -3.0E-6 8.0E-6 -8.0E-6
0.0 0.035865 0.098274 0.136139
2.638935 -0.029225 -0.156677 -0.253735
0.0 0.02929 0.156975 0.252987
0.0 2.0E-6 8.0E-6 1.11E-4
0.0 -0.014922 -0.11393 0.081844
1.85372 0.014909 0.113861 -0.0821
0.0 2.0E-6 8.0E-6 1.11E-4
0.0 2.0E-6 8.0E-6 1.11E-4
0.062557 -3.0E-6 8.0E-6 -3.1E-5
0.062557 -3.0E-6 8.0E-6 -3.1E-5
1.431902 -0.035843 -0.098152 -0.136723
0.0 0.035865 0.098274 0.136139
1.431902 -0.035843 -0.098152 -0.136723
0.0 0.035865 0.098274 0.136139
0.0 2.0E-6 8.0E-6 1.11E-4
1.431902 -0.035843 -0.098152 -0.136723
0.0 -3.0E-6 8.0E-6 -8.0E-6
0.0 0.12586 0.367775 0.4328
0.0 2.177897 -0.787102 2.473953
0.0 1.28844 -2.804062 10.428154
0.0 1.28844 -2.804062 10.428154
1.926916 4.314881 0.040787 3.160858
3.754265 1.367708 0.769615 0.250031
0.0 2.817807 1.368099 1.094933
12.787333 5.682571 3.148102 -1.767212
12.787333 5.682571 3.148102 -1.767212
0.0 5.99975 2.393986 5.853752
0.0 3.051553 1.611176 1.336887
0.0 6.211337 3.839203 6.480844
8.791516 4.83623 1.974579 0.314951
0.0 5.449934 3.246033 3.536594
0.0 4.977333 2.151901 4.532197
0.0 0.0 2.151901 4.532197
0.0 15.877405 0.0 -0.0

Closing robot connection...
Resetting servos and motors...
0.0 15.877405 0.0 -0.0
0.0 1.583959 0.728119 6.732346
11.128191 0.94489 1.295074 -4.745937
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
Connection closed!
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5
0.0 0.0 -1.5E-5 -4.2E-5

76 cc
