   RXTXRobot API version 4.5.5
---------------------------------

Connecting to robot, please wait...

--> Most recent version from website: 4.5.5
--> You are on the most up-to-date version of the API! (version 4.5.5)
Connected!


Firmware version: 4.5.2
API version: 4.5.5
0.0 0.0 0.0 -0.0
0.0 4.1E-5 2.44E-4 1.83E-4
0.176939 -6.8E-5 6.1E-5 -7.63E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 -0.001188 -0.004434 -6.1E-5
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 0.354284 1.149475 1.223816
5.086041 -0.35147 -1.137146 -1.22583
0.0 4.1E-5 2.44E-4 1.83E-4
0.088469 2.0E-6 0.0 -6.1E-5
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 -2.0E-5 0.0 -6.1E-5
0.0 4.1E-5 2.44E-4 1.83E-4
0.088469 2.0E-6 0.0 -6.1E-5
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.176939 -6.8E-5 6.1E-5 -7.63E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 0.354284 1.149475 1.223816
5.086041 -0.35147 -1.137146 -1.22583
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.176939 -6.8E-5 6.1E-5 -7.63E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.088469 2.0E-6 0.0 -6.1E-5
0.176939 -6.8E-5 6.1E-5 -7.63E-4
0.176939 -6.8E-5 6.1E-5 -7.63E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.092787 -4.0E-6 9.2E-5 -4.73E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.090654 -1.4E-5 1.53E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
0.0 4.1E-5 2.44E-4 1.83E-4
5.539236 0.169403 0.177032 -0.868164
0.0 1.699847 0.448151 3.279602
0.0 4.164112 3.282776 5.087463
0.0 3.388466 1.55188 5.498108
0.0 3.388466 1.55188 5.498108
16.226311 5.709114 1.138374 -5.139675
4.388832 3.168803 1.764828 0.460133
15.432673 7.141534 7.646179 -3.614342
6.432854 4.229639 5.351074 0.684662
9.669553 10.67837 13.221191 2.888092
0.0 1.810589 1.683838 2.676987
0.0 8.97066 6.983154 14.104889
0.0 4.049015 2.520966 2.543236
2.802538 2.206246 2.355804 0.627615

Closing robot connection...
Resetting servos and motors...
0.0 0.0 2.355804 -21.647385
0.0 2.365503 3.355072 2.135155
0.0 -0.001762 -0.774292 0.057472
4.42408 -0.191444 -0.612671 -0.910683
0.0 0.192591 0.617554 0.911217
0.0 7.0E-6 -3.1E-5 -9.2E-5
Connection closed!
4.079721 0.017731 0.227295 -0.583221
0.0 -0.01782 -0.228119 0.584579
0.0 7.0E-6 -3.1E-5 -9.2E-5
4.079721 0.017731 0.227295 -0.583221
0.0 -0.01782 -0.228119 0.584579
4.079721 0.017731 0.227295 -0.583221
0.034264 -7.0E-6 -3.1E-5 3.1E-5
0.0 0.204947 0.666321 0.328461
1.790129 -0.221995 -0.892883 0.253609
4.079721 0.017731 0.227295 -0.583221
0.0 -0.01782 -0.228119 0.584579
0.0 7.0E-6 -3.1E-5 -9.2E-5
0.0 7.0E-6 -3.1E-5 -9.2E-5
4.079721 0.017731 0.227295 -0.583221
0.034264 -7.0E-6 -3.1E-5 3.1E-5
0.034264 -7.0E-6 -3.1E-5 3.1E-5
0.0 0.0 -3.1E-5 -23.337914
0.0 -0.01782 -0.228119 0.584579
4.079721 0.017731 0.227295 -0.583221
0.0 0.22276 0.894409 -0.256088
0.0 0.0 0.894409 -22.73304
4.079721 0.017731 0.227295 -0.583221
0.0 0.0 0.227295 -23.337914
0.0 0.22276 0.894409 -0.256088
1.795805 -0.222569 -0.89505 0.252457
0.034264 -7.0E-6 -3.1E-5 3.1E-5
0.034264 -7.0E-6 -3.1E-5 3.1E-5

63 cc
